payment_id,enrollment_id,amount,payment_date,payment_method
20000001,10000001,79.99,2022/3/15,Credit card
20000002,10000002,59.99,2022/4/28,Paypal
20000003,10000003,59.99,2022/6/10,Paypal
20000004,10000004,69.99,2022/7/15,Paypal
20000005,10000005,79.99,2022/8/20,Paypal
20000006,10000006,39.99,2022/9/25,Paypal
20000007,10000007,69.99,2022/10/30,Paypal
20000008,10000008,79.99,2022/12/5,Credit card
20000009,10000009,39.99,2023/1/10,Credit card
20000010,10000010,69.99,2023/2/15,Paypal
20000011,10000011,79.99,2023/3/22,Paypal
20000012,10000012,69.99,2023/4/27,Paypal
20000013,10000013,59.99,2023/6/2,Paypal
20000014,10000014,59.99,2023/7/9,Credit card
20000015,10000015,59.99,2023/8/15,Credit card
20000016,10000016,79.99,2023/9/20,Paypal
20000017,10000017,69.99,2023/10/25,Credit card
20000018,10000018,49.99,2023/6/2,Credit card
20000019,10000019,69.99,2022/12/15,Paypal
20000020,10000020,69.99,2022/11/20,Paypal
20000021,10000021,49.99,2022/10/15,Credit card
20000022,10000022,49.99,2022/9/10,Credit card
20000023,10000023,49.99,2022/8/5,Paypal
20000024,10000024,69.99,2022/7/1,Credit card
20000025,10000025,79.99,2022/6/15,Paypal
20000026,10000026,39.99,2022/5/20,Credit card
20000027,10000027,69.99,2022/4/15,Paypal
20000028,10000028,79.99,2022/3/10,Credit card
20000029,10000029,39.99,2022/2/5,Paypal
20000030,10000030,59.99,2023/1/15,Credit card
20000031,10000031,79.99,2023/2/28,Credit card
20000032,10000032,39.99,2023/4/5,Credit card
20000033,10000033,39.99,2023/5/10,Credit card
20000034,10000034,59.99,2023/6/15,Paypal
20000035,10000035,39.99,2023/7/20,Paypal
20000036,10000036,79.99,2023/8/25,Paypal
20000037,10000037,79.99,2023/9/30,Paypal
20000038,10000038,39.99,2023/11/5,Credit card
20000039,10000039,49.99,2023/6/15,Paypal
20000040,10000040,49.99,2023/7/9,Paypal
20000041,10000041,49.99,2023/7/20,Paypal
20000042,10000042,69.99,2023/8/15,Credit card
20000043,10000043,79.99,2023/8/25,Paypal
20000044,10000044,69.99,2023/9/20,Credit card
20000045,10000045,39.99,2023/9/30,Paypal
20000046,10000046,69.99,2023/10/25,Paypal
20000047,10000047,89.99,2023/11/5,Paypal
20000048,10000048,79.99,2022/7/15,Credit card
20000049,10000049,79.99,2022/8/20,Paypal
20000050,10000050,59.99,2022/9/25,Paypal
20000051,10000051,69.99,2022/10/30,Credit card
20000052,10000052,89.99,2022/12/4,Credit card
20000053,10000053,59.99,2023/1/9,Paypal
20000054,10000054,79.99,2023/2/14,Paypal
20000055,10000055,69.99,2023/3/21,Credit card
20000056,10000056,69.99,2023/4/25,Paypal
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
